Time,Input,Output,Reference
1.84,-1,79.0818458,39.5409229
1.845,-1,76.942049,38.4710245
1.85,-1,74.8468313,37.42341565
1.855,-1,72.84714026,36.42357013
1.86,-1,70.96208118,35.48104059
1.865,-1,68.79044216,34.39522108
1.87,-1,66.84169864,33.42084932
1.875,-1,64.6509543,32.32547715
1.88,-1,62.59394726,31.29697363
1.885,-1,60.61972998,30.30986499
1.89,-1,58.6009336,29.3004668
1.895,-1,56.93240158,28.46620079
1.9,-1,54.79260478,27.39630239
1.905,-1,52.75470306,26.37735153
1.91,-1,50.73590668,25.36795334
1.915,-1,48.583373,24.2916865
1.92,-1,46.51999752,23.25999876
1.925,-1,44.29741096,22.14870548
1.93,-1,42.51424698,21.25712349
1.935,-1,40.27892354,20.13946177
1.94,-1,38.29196936,19.14598468
1.945,-1,36.2031201,18.10156005
1.95,-1,34.19706062,17.09853031
1.955,-1,32.10184292,16.05092146
1.96,-1,30.08304654,15.04152327
1.965,-1,27.9687235,13.98436175
1.97,-1,26.14734886,13.07367443
1.975,-1,23.75918278,11.87959139
1.98,-1,21.60028066,10.80014033
1.985,-1,19.35858878,9.679294389
1.99,-1,17.22516042,8.612580212
1.995,-1,15.23820626,7.619103128
2,1,13.25125209,6.625626043
